error_type,sample_id,image_path,gold_label,prediction_label,confidence,rounds,reason,harmfulness_analysis
false_positive,image_5379,/data/ggbond/Dataset/ToxiCN_MM/Img/2284.jpg,harmless,harmful,0.92,1,性暗示的双关设定与视觉反差的直接性构成明确的Vulgar标签证据，符合项目标准,"该模因通过性暗示（""让全天下女人尖叫""）与反差（蟑螂引发尖叫）形成双重语义结构。根据项目标准，性暗示的初始设定符合""Vulgar""标签定义。虽然未直接涉及暴力或歧视，但性暗示的隐含性（""尖叫""的双关）和性别刻板印象（女性对蟑螂的恐惧）构成潜在冒犯性。文本证据显示性暗示的明确性（""尖叫""的双关），图像证据显示反差的直接性（蟑螂的视觉冲击），两者共同强化了模因的争议性。"
false_negative,image_4972,/data/ggbond/Dataset/FHM/Img/81265.png,harmful,harmless,0.92,1,图像与文本的语义关联明确，有害性评估符合项目标准，受众与意图分析完整，无需进一步分析,该模因通过将政治抗议场景与娱乐消费投诉进行语义拼接，隐含对“取消文化”现象的讽刺性批评。其对抗性表现为对社会现象的戏谑性否定，但未涉及具体群体攻击、暴力煽动或敏感议题关联。文本中“they cancelled your favorite show”属于泛化表达，未指向特定对象或事件。图像中示威者虽呈现愤怒状态，但无暴力行为或符号暗示。整体符合“无害”判定标准。
false_positive,image_3286,/data/ggbond/Dataset/MET/Img/image_ (1476).jpg,harmless,harmful,0.88,1,模因通过虚构角色与现实政治人物的视觉类比，隐喻性地强化政治对立，符合‘Offensive’标准。,该模因通过将智利总统Gabriel Boric与前参议员Giorgio Jackson（因腐败定罪）与《美国队长：内战》中的角色并置，隐喻性地将现实政治人物置于虚构的超级英雄冲突框架中。尽管未直接使用侮辱性语言，但通过将政治人物与虚构角色的视觉类比，可能构成对政治人物的贬低性讽刺，符合‘Offensive’标准中‘恶意攻击个人或群体’的范畴。模因的‘内战’模板本身隐含对立与分裂的语义，可能强化对政治人物的负面刻板印象。
false_positive,image_1,/data/ggbond/Dataset/MAMI/Img/9439.jpg,harmless,harmful,0.88,1,通过性别化视觉符号对比制造刻板印象，符合Discrimination和Offensive标准,该模因通过将过去女性教师形象与男性演员西尔维斯特·史泰龙的粗犷形象进行对比，隐含了性别刻板印象（暗示过去女性教师具有男性化特征或外貌不佳）。这种对比可能构成基于性别的歧视（Discrimination），且通过贬低特定群体（年长女性教师）的外貌特征进行幽默化处理，符合Offensive标准。尽管未直接使用侮辱性语言，但通过视觉符号的性别化对比制造了潜在的冒犯性。
false_negative,image_3711,/data/ggbond/Dataset/ToxiCN_MM/Img/4510.jpg,harmful,harmless,0.92,1,文本与视觉元素均未包含有害内容，幽默逻辑基于普遍生活经验且无攻击性指向。,该模因未涉及歧视、攻击性内容、暴力、低俗或社会对立元素。文本通过反差幽默（预期与现实的落差）表达个体情绪崩溃的日常化场景，未针对特定群体或社会议题进行负面建构。视觉元素仅呈现中性物品（床垫与床单），无敏感符号或隐喻。整体符合无害模因标准。
false_negative,image_7290,/data/ggbond/Dataset/ToxiCN_MM/Img/11492.jpg,harmful,harmless,0.95,1,分析已明确模因的无害性，通过视觉元素与谐音梗的关联性解释，且无进一步分析需求。,"无有害内容。该模因通过谐音梗（""挺秃然的""/""挺突然的""）和卡通形象表达幽默与轻微的悲伤，未涉及歧视、攻击性、暴力、低俗或煽动性内容。属于自嘲或观察性幽默，无社会危害性。"
false_positive,image_4594,/data/ggbond/Dataset/MET/Img/image_ (1894).jpg,harmless,harmful,0.92,1,"模因文本包含明确的暴力威胁（""KILL YOU""），符合项目标准中暴力类别的定义，且未提供消解威胁的语境","该模因文本明确包含暴力威胁（""I WILL FIND YOU AND I WILL KILL YOU""），符合项目标准中暴力类别的定义：直接威胁暴力行为。尽管模因格式通常具有幽默性，但文本本身构成暴力威胁，且未提供任何消解威胁的语境（如虚构场景或明确的虚构标注）。根据项目标准，暴力类别涵盖任何直接威胁暴力的行为，因此判定为有害。"
false_negative,image_3441,/data/ggbond/Dataset/MAMI/Img/10288.jpg,harmful,harmless,0.92,1,经典卡通角色的无害幽默改编，符合大众文化语境且未触发任何有害性标签,该模因未涉及歧视、攻击性语言、暴力、低俗或社会对立内容。Tom和Jerry作为经典卡通角色的敌对关系被用于幽默场景，符合大众文化语境下的无害娱乐表达。
false_negative,image_43,/data/ggbond/Dataset/MAMI/Img/4334.jpg,harmful,harmless,0.92,1,图像和文本均明确指向无害的婴儿玩具对比幽默，未发现任何有害性证据,该模因不涉及歧视、攻击性内容、暴力或低俗元素。文本和图像均围绕婴儿玩具的尺寸对比展开，属于常见的幽默类模因（预期与现实的反差）。尽管德语词汇'Liebesperlen'（爱之珠）存在双关潜力，但结合婴儿玩具的语境和产品名称的直接标注，未发现恶意暗示或冒犯性内容。整体内容符合无害标准。
false_negative,image_6615,/data/ggbond/Dataset/FHM/Img/62084.png,harmful,harmless,0.9,1,分析已覆盖视觉要素、文本语义、情感判断和有害性评估，核心结论明确且符合项目标准,"该模因包含轻微的粗俗语言（""ass""），但整体内容为无害的励志信息。根据项目标准，""ass""属于粗俗语言范畴，但在此语境中作为常见习语使用，未涉及性暗示、暴力或歧视性内容。模因通过严肃黑人男性形象传递积极行动的建议，未触发其他有害性标签（歧视、攻击性、暴力等）。"
